Longitude,Latitude,vin cnt
-83.8685001,33.8305544,1061
-83.8634905,33.5971107,41
-83.8624648,34.2297335,1180
-83.8615595,34.275075,1346
-83.8615102,34.224235,1586
-83.860405,34.2742239,520
-83.859902,34.275704,419
-83.859185,34.274336,708
-83.8578099,34.2751528,201
-83.857704,34.276066,428
-83.855544,34.205288,47
-83.8501359,34.2821325,800
-83.8463034,34.2851593,359
-83.8457953,33.602234,558
-83.842861,34.285436,136
-83.8428211,33.8300507,31
-83.8403019,34.2686497,256
-83.840188,34.2693401,61
-83.840018,34.278415,160
-83.839967,34.2808769,30
-83.8394833,34.2830093,23
-83.839236,34.28592,152
-83.8342608,33.5847611,934
-83.822142,33.8240812,4
-83.7850916,34.2801962,23
-83.7722367,32.9069954,3
-83.7630686,34.5578643,651
-83.7623179,34.5561475,165
-83.7612429,34.5865566,138
-83.7566491,34.5114487,96
-83.7509779,34.1186278,31
-83.7490043,32.6567003,648
-83.7459253,32.6649038,499
-83.7418219,34.0842221,59
-83.7387822,33.9931579,2802
-83.7294801,34.3707169,321
-83.715856,33.989998,7
-83.7123687,32.9234125,352
-83.711329,32.922438,690
-83.7103448,33.9991043,11
-83.709521,32.921563,713
-83.7094971,32.9236403,640
-83.7094533,32.9165336,1013
-83.7092704,32.9202863,440
-83.7090431,32.9226624,637
-83.7079484,32.9152969,578
-83.706814,32.914459,696
-83.7016253,33.7715038,151
-83.691771,34.583449,13
-83.6905775,32.9041188,989
-83.68441,32.9051535,644
-83.6825107,32.8139305,678
-83.6811164,32.8244582,15
-83.6790796,32.6176549,779
-83.6790382,32.6089798,1125
-83.6766035,32.8887133,611
-83.6756079,32.6033015,1000
-83.6742985,32.8862565,227
-83.671819,32.8485919,33
-83.6700378,32.8814445,12
-83.664286,32.6186561,95
-83.6641409,32.874715,9
-83.6593885,32.7723214,24
-83.6483006,32.858894,8
-83.6467715,32.856494,504
-83.6454486,32.858105,879
-83.6402135,32.618767,178
-83.6358286,32.5929177,8
-83.6335379,32.5944565,340
-83.6331161,32.8294931,323
-83.6307809,32.8339877,28
-83.6272774,32.8381712,30
-83.6225068,32.592285,229
-83.6126892,32.6186039,18
-83.6038597,32.6181523,956
-83.5882196,34.1312043,46
-83.58292,34.48382,328
-83.5758,34.117031,196
-83.559583,34.1930373,1
-83.5316793,34.4981371,9
-83.528819,34.5238925,146
-83.4988517,33.9403503,1555
-83.49129,34.220295,179
-83.4856913,32.886946,10
-83.48521,33.9394873,370
-83.4827115,33.9414331,733
-83.482676,33.9414569,313
-83.4787325,33.9394015,644
-83.4778168,33.561011,176
-83.4772015,33.9418655,386
-83.4556867,34.237158,594
-83.4516725,33.9408453,180
-83.4423125,33.9438812,91
-83.4401892,33.9445409,325
-83.4395369,33.9470196,507
-83.4367656,33.9455872,263
-83.4254639,33.9473454,454
-83.4028486,33.8527972,10
-83.390131,33.969885,26
-83.3843057,33.9999752,63
-83.3306124,34.5776752,5
-83.293853,34.564688,13
-83.2828266,34.5466083,37
-83.2760477,33.429869,2
-83.275853,33.153841,441
-83.2746271,33.1534232,148
-83.265356,33.1277359,1
-83.2605116,33.114801,364
-83.2579101,33.106066,699
-83.2544322,33.1076753,88
-83.2013212,33.5525508,690
-83.1342824,34.2851836,601
-83.1235416,34.2834797,160
-83.0983692,34.4498008,3
-83.0439127,34.7483799,765
-83.0424102,34.7498819,80
-82.9682599,34.6959484,625
-82.9591896,32.5950298,554
-82.8874663,34.7003052,1272
-82.789576,34.639766,342
-82.7493288,34.5944042,34
-82.742417,34.515262,91
-82.7399903,34.5851045,24
-82.6962404,34.5530998,447
